day,h1,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h2,h20,h21,h22,h23,h24,h3,h4,h5,h6,h7,h8,h9,month,year,"zone_id"
21,1275856,1599400,1554470,1518061,1457607,1419271,1394406,1400387,1454175,1605017,1686423,1239574,1705992,1689926,1668586,1636351,1565510,1236739,1263700,1340778,1444302,1594026,1694986,1639937,1,2016,
22,1512834,1757474,1768274,1759574,1766991,1727255,1654237,1588675,1600590,1701147,1693492,1488608,1628219,1573857,1518203,1470530,1418219,1485070,1474586,1493659,1512262,1572491,1649827,1713088,1,2016,
23,1374252,1886196,1882791,1836507,1783329,1728186,1686265,1654473,1675321,1773397,1839482,1387355,1830653,1816238,1793714,1752118,1671281,1441296,1496553,1533794,1597240,1676281,1752985,1842000,1,2016,
24,1647063,1823377,1795221,1760312,1724042,1696087,1659154,1653657,1669816,1782998,1815252,1642025,1799514,1741419,1663865,1578160,1478640,1665983,1682134,1742200,1804023,1898406,1928772,1890530,1,2016,
25,1437868,1583301,1511835,1473893,1412894,1372534,1353666,1360058,1400525,1523760,1581490,1407882,1602593,1560028,1510306,1423934,1336804,1406320,1416596,1447416,1510769,1625217,1661211,1644691,1,2016,
26,1273758,1442708,1394603,1331029,1268104,1244835,1217324,1230230,1283054,1408689,1464498,1257759,1474930,1454382,1392761,1340313,1253768,1256822,1262279,1291800,1366346,1493938,1547345,1485193,1,2016,
27,1230497,1653119,1609514,1549961,1518824,1480812,1446260,1450331,1514580,1670403,1777245,1231108,1802811,1813774,1768396,1695652,1612383,1269339,1308885,1383261,1511192,1718859,1806861,1706591,1,2016,
28,1602038,1791717,1718436,1635070,1546783,1489789,1440311,1430182,1498304,1643856,1724388,1600934,1726355,1715127,1684428,1647595,1582710,1623367,1643415,1705957,1805120,1934557,1965005,1866934,1,2016,
29,1539257,1723689,1608670,1545806,1451432,1402966,1394477,1413421,1457230,1547280,1584883,1538839,1565721,1523726,1488506,1424902,1342870,1546880,1557813,1589591,1623396,1705275,1774798,1802536,1,2016,
30,1288780,1506131,1506696,1496851,1460991,1419291,1382545,1384312,1413020,1503368,1559643,1258327,1563937,1525206,1467113,1423906,1357400,1243384,1235198,1247361,1258624,1297055,1357642,1448806,1,2016,
31,1331795,1588397,1503948,1439756,1390761,1333070,1284338,1317107,1362617,1505875,1609072,1326131,1626125,1599658,1545262,1473166,1391468,1338892,1363954,1422846,1507402,1660901,1735770,1673005,1,2016,
1,1356149,1486428,1392831,1328221,1259942,1218965,1198863,1207458,1280375,1421450,1565523,1354092,1586960,1583164,1544471,1478540,1392921,1369453,1378378,1422646,1519615,1662533,1688210,1588374,2,2016,
2,1370178,1546258,1440188,1375971,1312842,1269988,1237332,1243473,1301869,1443792,1544348,1374083,1546453,1532397,1467189,1394563,1294714,1386886,1408612,1482393,1586113,1747547,1760594,1640403,2,2016,
3,1250060,1505086,1498430,1472445,1462845,1449999,1424742,1423824,1478218,1580805,1636657,1228801,1611097,1578806,1486841,1415634,1318009,1245204,1250046,1296561,1374371,1539280,1586445,1537713,2,2016,
4,1274605,1498517,1418174,1363972,1311030,1268907,1250670,1226500,1261981,1353365,1434590,1254611,1432902,1410330,1380380,1336458,1256156,1249802,1269945,1303919,1370753,1507024,1559365,1547847,2,2016,
5,1217653,1373888,1303021,1228725,1165591,1106847,1062430,1051846,1062242,1153393,1242429,1178778,1260283,1268406,1246824,1222255,1165058,1180202,1186697,1202041,1248341,1301253,1386943,1410091,2,2016,
6,1140132,1370315,1289459,1203204,1146299,1097570,1055917,1049309,1083441,1182659,1253136,1132445,1243991,1243612,1223934,1196149,1137446,1142797,1160364,1180290,1226669,1285677,1380613,1411087,2,2016,
7,1084701,1342994,1258718,1236990,1180325,1129814,1093137,1073650,1098042,1215758,1334860,1085448,1348611,1328493,1262919,1195938,1111801,1095882,1119045,1177322,1278309,1467560,1532900,1437786,2,2016,
8,1063913,1310213,1229869,1165833,1127253,1091703,1076933,1060076,1083745,1174516,1285071,1054570,1276723,1243373,1180841,1089252,1011391,1070850,1087360,1118656,1226948,1383429,1434696,1369695,2,2016,
9,982745,1169002,1090457,1074210,1043514,1025990,1018839,1027953,1054085,1177254,1272122,962445,1270653,1242777,1165037,1094608,993140,962855,967147,1005001,1107510,1277055,1305454,1239196,2,2016,
10,958715,1262880,1259397,1251203,1246991,1243122,1253325,1271548,1350244,1463174,1597190,947090,1603074,1600875,1530821,1457958,1354640,947016,949654,991595,1096341,1282469,1337117,1296897,2,2016,
11,1333832,1526317,1492006,1444728,1394536,1352024,1353502,1304911,1333316,1385115,1535874,1313586,1531922,1530123,1482625,1411740,1320372,1323870,1341518,1395230,1494248,1663719,1683859,1597011,2,2016,
12,1266457,1390251,1347781,1284669,1234461,1178547,1099636,1076203,1082088,1174321,1278636,1247703,1276841,1250835,1226470,1185247,1111896,1230466,1225862,1238035,1265286,1328267,1400375,1432013,2,2016,
13,1081104,1327628,1258585,1196072,1163992,1125186,1096248,1109561,1158268,1229675,1315652,1071987,1323997,1286593,1234619,1161418,1088101,1077598,1083193,1106091,1144926,1212665,1300811,1348903,2,2016,
14,1044572,1412831,1392444,1344929,1318154,1300555,1273654,1281420,1344683,1409020,1448117,1042780,1429522,1383020,1306535,1198954,1094381,1049368,1082046,1129236,1217537,1391667,1474700,1427626,2,2016,
15,1041860,1247651,1156563,1114885,1068462,1038590,1005403,996357,1021619,1116510,1222544,1023856,1232387,1194048,1140470,1052614,956170,1019414,1032312,1072095,1167635,1345143,1390835,1321726,2,2016,
16,931053,1172376,1143133,1121927,1102005,1100381,1080020,1089409,1133622,1223485,1334668,913980,1334319,1320437,1257126,1193438,1105523,939052,965726,1002208,1104804,1278727,1330073,1234080,2,2016,
17,1068066,1359589,1336994,1300336,1275212,1252642,1229987,1212524,1267901,1378368,1498983,1064407,1515125,1485486,1425850,1342196,1260159,1077829,1093570,1135684,1246797,1415046,1473730,1407542,2,2016,
18,1221994,1525267,1500606,1457304,1423713,1396659,1385919,1371131,1395286,1491822,1615591,1227402,1614271,1598695,1550682,1500829,1440581,1248022,1273923,1323578,1427922,1593171,1659388,1566721,2,2016,
19,1402156,1570109,1487865,1414725,1333941,1267771,1210823,1190026,1202625,1277996,1392375,1390778,1410678,1399689,1383986,1342903,1284945,1395180,1409201,1436122,1494976,1567383,1639350,1624106,2,2016,
20,1248222,1402100,1349569,1287275,1261090,1253322,1236147,1245689,1282260,1343096,1403397,1222051,1424705,1396595,1329349,1263043,1180220,1213781,1225557,1231449,1243978,1280864,1362502,1417385,2,2016,
21,1132910,1341728,1309348,1257765,1188827,1137032,1075313,1082012,1127889,1228769,1322328,1116363,1316265,1271170,1210615,1139003,1038218,1104616,1103073,1129600,1186306,1307033,1370397,1366641,2,2016,
22,1008478,1288931,1252010,1138611,1143807,1131646,1108003,1185655,1142019,1226930,1341790,1004395,1359009,1332477,1276087,1200788,1109121,1002596,1025068,1066112,1176044,1333598,1391569,1332573,2,2016,
23,1067605,1278987,1241909,1219115,1178992,1150870,1125370,1111098,1144895,1251719,1387123,1053028,1421169,1415569,1355287,1287854,1207565,1050651,1061081,1107468,1217167,1370718,1414305,1327871,2,2016,
24,1154547,1517537,1538587,1537110,1528922,1528848,1521022,1512369,1553555,1620229,1659477,1142317,1596312,1553520,1504373,1423059,1333392,1151765,1182176,1218966,1219241,1418149,1496587,1578556,2,2016,
25,1298452,1486580,1422054,1376592,1326204,1290179,1264236,1252341,1271294,1344784,1468080,1286197,1479860,1472176,1443394,1400145,1348447,1285503,1294769,1341224,1407524,1518918,1560429,1543862,2,2016,
26,1313583,1472564,1382189,1315629,1253423,1206763,1166744,1165486,1184890,1232140,1325510,1301762,1333578,1334920,1319847,1275898,1224079,1313126,1332750,1355130,1383603,1457524,1518619,1520859,2,2016,
27,1192008,1429993,1379693,1310202,1255224,1217338,1193578,1189068,1234514,1313827,1401893,1183150,1426908,1410718,1352775,1292895,1213439,1190869,1207451,1227844,1269319,1336044,1418459,1449341,2,2016,
28,1187211,1532570,1539794,1529176,1520081,1512907,1500821,1496135,1525755,1571606,1620149,1169123,1607141,1530867,1461162,1373585,1298062,1164658,1187148,1231270,1313603,1444572,1515942,1514797,2,2016,
1,1247332,1383250,1382584,1370969,1348987,1329333,1313377,1331622,1382474,1438062,1531504,1222973,1535431,1514358,1454200,1401883,1308375,1226739,1233529,1270826,1354129,1425606,1445618,1415392,3,2016,
2,1294884,1453387,1396230,1359871,1321666,1296353,1288136,1293557,1358325,1468067,1588739,1305750,1648704,1664352,1598723,1540422,1458825,1320708,1338281,1364038,1426098,1553949,1571231,1513986,3,2016,
3,1425633,1495699,1438244,1430249,1383271,1357527,1318384,1309808,1332827,1429930,1559269,1406129,1605961,1593018,1553014,1483433,1404479,1414239,1435114,1484176,1535428,1647564,1655985,1565107,3,2016,
4,1375874,1461714,1415699,1337002,1277356,1233848,1196168,1206815,1263879,1345457,1422314,1369355,1419193,1399736,1348338,1299207,1217276,1382482,1409787,1459071,1522175,1665311,1648028,1539743,3,2016,
5,1175287,1408251,1386024,1334686,1295710,1244055,1212860,1194427,1200436,1240698,1341773,1140742,1345523,1336975,1313458,1286115,1224710,1137272,1139074,1153375,1187074,1255923,1336996,1399854,3,2016,
6,,,,,,,,,,,,,,,,,,,,,,,,,3,2016,
7,,,,,,,,,,,,,,,,,,,,,,,,,3,2016,
8,,,,,,,,,,,,,,,,,,,,,,,,,3,2016,
9,,,,,,,,,,,,,,,,,,,,,,,,,3,2016,
10,,,,,,,,,,,,,,,,,,,,,,,,,3,2016,
11,,,,,,,,,,,,,,,,,,,,,,,,,3,2016,
12,,,,,,,,,,,,,,,,,,,,,,,,,3,2016,
13,1068650,1299069,1251019,1190896,1139019,1090037,1058529,1033281,1070342,1140069,1239574,1043655,1274637,1261101,1209294,1150043,1067857,1037891,1046825,1062495,1085016,1117447,1203716,1285616,3,2016,
14,1025667,1351438,1288462,1263461,1223164,1191402,1150276,1121079,1141836,1204378,1347341,1042259,1418796,1422851,1372551,1306840,1239205,1052153,1082116,1137382,1235358,1411590,1452475,1389326,3,2016,
15,1184350,1347231,1299551,1252724,1226222,1187832,1152176,1132438,1146606,1215717,1347907,1200106,1407444,1399088,1359757,1294417,1213718,1211536,1250737,1300738,1398971,1552134,1539734,1424820,3,2016,
16,1165794,1325063,1278074,1238750,1199285,1183389,1184401,1203651,1246533,1303263,1391854,1154607,1412772,1390130,1320639,1239210,1156513,1153071,1171209,1212480,1301621,1461430,1482990,1390657,3,2016,
17,1109379,1361623,1345501,1296244,1259048,1195274,1120588,1114562,1131178,1192120,1297771,1087897,1340893,1353551,1291886,1236907,1192787,1111899,1126324,1172260,1254451,1408326,1453918,1393051,3,2016,
18,1161365,1290235,1212055,1151423,1092337,1055300,1023538,1015359,1021416,1066805,1164503,1159772,1208185,1207324,1178555,1155177,1098958,1168183,1190024,1248939,1345762,1524230,1520092,1384882,3,2016,
19,1058714,1238613,1159352,1093872,1047838,1005054,979344,968947,995946,1058359,1128614,1048849,1152563,1128353,1081191,1038797,971440,1060024,1079775,1112843,1167868,1227834,1291514,1281784,3,2016,
20,922748,1161552,1113447,1066702,1034047,1011974,975273,969277,980833,1026382,1127305,897245,1184795,1181950,1125812,1062552,991205,890098,885622,900671,937142,991824,1076334,1161290,3,2016,
21,957862,1224949,1173819,1139378,1108852,1084513,1070187,1056531,1069305,1137859,1266947,946463,1336912,1320170,1265648,1203448,1129530,965505,994264,1046757,1142557,1297066,1322813,1247833,3,2016,
22,1107038,1253760,1196522,1137916,1103046,1071857,1045551,1032753,1047365,1093219,1201415,1105575,1254418,1236111,1174972,1103319,1009659,1136811,1169506,1228528,1323456,1480124,1469666,1340887,3,2016,
23,965250,1242384,1249175,1245314,1242053,1226741,1200696,1213048,1260227,1310964,1375057,948352,1373813,1332746,1261824,1193844,1101100,939956,944845,986553,1057773,1209087,1269854,1234787,3,2016,
24,1052025,1312904,1290683,1233617,1186696,1175234,1148963,1135988,1160502,1203331,1287255,1038022,1295544,1280050,1229678,1171764,1083703,1035157,1038930,1075198,1156917,1297297,1353488,1321288,3,2016,
25,1020299,1251470,1219621,1205107,1165332,1142941,1124026,1121280,1152588,1194656,1232775,998384,1230234,1206083,1144187,1086087,1003464,1001971,1001744,1036763,1088988,1184904,1245349,1246554,3,2016,
26,962127,1247525,1228642,1187897,1144801,1116838,1094513,1100123,1118706,1159625,1200625,931774,1206633,1180813,1133131,1090826,1014094,918343,935309,957571,977200,1044797,1126862,1206959,3,2016,
27,940184,1222513,1213565,1189819,1189827,1163893,1139759,1119736,1119477,1130458,1192892,909973,1201598,1173487,1108406,1049899,968370,897231,902160,926529,963119,1014364,1086874,1183209,3,2016,
28,937531,1296691,1303322,1291333,1265946,1235943,1204860,1195888,1190149,1229972,1293478,922091,1307727,1267555,1196127,1128071,1033603,925367,931827,965927,1033706,1150657,1229951,1259118,3,2016,
29,975324,1144688,1104437,1093166,1060819,1063576,1039230,1031040,1055442,1090999,1167500,948235,1234272,1210957,1131378,1066141,973913,950323,948418,983303,1062672,1188862,1241965,1214308,3,2016,
30,930385,1119841,1096225,1110600,1022723,993934,999434,986535,1006433,1038106,1107723,922676,1197400,1176506,1124517,1043126,953313,914307,943618,989905,1088156,1217570,1240248,1182451,3,2016,
31,911232,1133583,1114762,1090054,1056813,1060588,1040053,1047068,1084061,1148756,1217513,899029,1263897,1219409,1148123,1054870,970796,900321,916123,959556,1039216,1176797,1224034,1171954,3,2016,
1,918860,1114500,1132088,991345,1085414,954218,953729,958788,992982,1058282,1115379,892289,1125448,1113791,1071573,1007100,932422,887544,900739,938808,1024559,1165170,1198390,1153642,4,2016,
2,881430,1119961,1118533,1102369,1085362,1042835,1034297,1011176,1045440,1087057,1129941,856450,1155572,1139777,1101034,1069857,1000750,843412,844308,854341,873916,935396,1004254,1073598,4,2016,
3,959019,1225342,1230346,1230411,1216604,1171487,1126213,1113366,1102918,1097735,1110599,947457,1178830,1241562,1212563,1143427,1043744,947408,959544,968749,972796,1012200,1085010,1174234,4,2016,
4,988464,1138178,1141308,1113077,1091708,1074454,1037706,1020530,1024256,1040600,1063374,953499,1129677,1213807,1162331,1084242,991021,948451,963792,1014604,1089691,1210234,1227200,1153466,4,2016,
5,924731,1119003,1089752,1053234,1021043,1007626,984398,961147,978602,999428,1019415,899337,1073226,1144026,1099443,1020980,892660,902584,923628,974202,1067409,1252635,1306032,1193397,4,2016,
6,840617,969687,957224,952666,944597,944563,948666,954416,955581,979939,986694,813040,1027390,1101952,1052483,950343,849282,799211,804559,836229,867003,1017800,1055037,999601,4,2016,
7,792626,1016672,1027106,1033758,1030193,1011413,1026879,1007726,1024492,1034215,1051673,782237,1107269,1138057,1081064,976715,857560,770874,765519,793860,861585,1008858,1071732,1036561,4,2016,
8,799767,1022676,1035504,1022264,1005972,993131,983976,975347,978822,1003028,1005910,772923,1027903,1077454,1047951,992006,897605,761270,759444,779934,838524,993945,1070425,1029209,4,2016,
9,839633,1053126,1019930,988865,952046,927417,908462,896240,902097,906915,913076,798179,937771,1012994,975904,924874,862855,782194,781731,804163,837423,913689,990149,1057543,4,2016,
10,808358,1058793,1015842,974506,937950,917227,887939,882072,892626,917892,926565,796497,971993,1081291,1031988,946483,841543,794302,810632,826193,858550,907406,996637,1053246,4,2016,
11,783281,1067979,1037976,1031903,1011578,1012959,991557,970179,1002414,1038956,1042225,769396,1097766,1186166,1122741,1031920,930785,762908,779723,823371,917470,1079567,1142155,1079073,4,2016,
12,872424,1139315,1112119,1083881,1135283,1058294,1045417,1053985,1076759,1130087,1167279,861558,1230246,1249955,1184863,1100384,985067,855786,876372,921299,1009136,1194273,1239062,1091173,4,2016,
13,924422,1152697,1123065,1083950,1067355,1047971,1025138,1030081,1036998,1058080,1073722,911130,1082021,1154325,1111476,1076224,989064,886839,905968,948204,1025131,1153049,1183681,1154962,4,2016,
14,943575,1144695,1111125,1076115,1054600,1028958,1010681,1005706,1014517,1024596,1036916,947869,1093932,1181096,1144660,1060775,956912,948224,967592,1010308,1098115,1228906,1247420,1143684,4,2016,
15,907941,1183863,1129518,1098807,1069371,1057201,1026154,1013420,1022163,1030033,1042666,897022,1084406,1174114,1159520,1113033,1035866,897369,922864,969018,1047834,1224016,1274013,1205390,4,2016,
16,986669,1168983,1122257,1073934,1020912,983878,948913,941227,939389,950581,961061,961485,995410,1069850,1049207,1012337,941151,974936,984466,1007543,1045470,1117249,1188460,1204453,4,2016,
17,901956,1112841,1049309,982076,944752,925781,896471,893098,919713,935894,956517,882217,991260,1089749,1028291,936316,838157,893683,914917,949323,964328,1022755,1094929,1131368,4,2016,
18,775519,1038983,1033525,1017791,1004423,1002724,993344,1007470,1027341,1047614,1055712,761882,1075372,1171926,1102665,993595,879594,754713,777849,809445,888748,1059873,1122152,1071734,4,2016,
19,818835,1038086,1048850,1044415,1046065,1070096,1062693,1053497,1061780,1068496,1056258,782288,1061739,1127233,1083470,1010604,888883,765172,769654,800172,887051,1034979,1095367,1041869,4,2016,
20,831159,1027006,1045073,1061395,1075336,1100449,1099572,1052507,1060490,1077250,1100376,791347,1106717,1171177,1116980,1049322,920123,767752,768485,793458,858086,1011664,1073821,1029701,4,2016,
21,861851,1020025,1019916,1014447,1001877,1009537,990725,987129,990770,1010718,1027372,828091,1058569,1118300,1061918,977310,870581,803254,789368,809949,869849,1009843,1051437,1025111,4,2016,
22,801629,1032533,1058526,1038293,1007708,1000509,996252,1004998,1034137,1070228,1076492,780795,1094498,1109616,1056121,1006188,913835,773119,784487,807506,886108,1028816,1096005,1051720,4,2016,
23,843346,1029402,1053493,1001412,962721,946924,926238,929607,942040,945151,937119,816746,967042,998138,974401,926598,857891,786634,782984,786647,801837,848731,930777,983522,4,2016,
24,829262,1112721,1098107,1072079,1033500,1020469,998733,994655,1009627,1038649,1077764,801945,1137066,1200378,1152758,1088173,1005078,791707,800098,818995,836006,891625,988944,1076121,4,2016,
25,954628,1177944,1149488,1127580,1096752,1068046,1050249,1025211,1043052,1050222,1058612,938384,1082956,1189589,1154902,1063135,956573,938770,951543,995381,1075786,1203475,1232576,1186508,4,2016,
26,914246,1090476,1067229,1030306,1010999,999597,1004018,998960,999130,1024771,1047725,899919,1102819,1172545,1102762,1012150,904598,903921,927702,969158,1056294,1204345,1236126,1147965,4,2016,
27,846459,1036341,1019400,1002032,988268,988389,981075,978061,993913,1017176,1027863,818518,1052231,1130793,1099395,1008902,906360,803969,813781,845777,922145,1058806,1104937,1064454,4,2016,
28,848750,1076313,1054597,1035969,1010411,999500,980505,970868,969060,991047,1026005,835880,1063827,1141893,1097379,1000541,891967,829168,841466,874217,971433,1112737,1173715,1108292,4,2016,
29,828802,1065896,1041219,1025062,1008996,981210,971562,947967,962263,978916,992974,808884,1013846,1050451,1004381,965418,879593,798857,807991,830424,908594,1032142,1100824,1081894,4,2016,
30,826751,1036070,1054449,1020963,977672,944950,910829,906591,888316,927683,935527,791628,939806,964312,933818,878247,809639,778266,775242,778651,794979,844068,907342,992665,4,2016,
1,738971,971977,976421,957863,924790,900275,883962,862322,877704,888482,928717,706159,958037,1055451,1017656,944093,862145,692094,690574,699225,726272,762276,846848,941168,5,2016,
2,805720,1111690,1071607,1051178,1037376,1037007,1049538,1039982,1043930,1073873,1116260,796186,1141411,1188634,1172592,1096425,1006493,805630,823778,878562,985969,1158944,1233725,1169910,5,2016,
3,946186,1149347,1103895,1076630,1035680,1019207,1003417,995997,1009973,1035038,1071525,945483,1109324,1171377,1137414,1044390,953984,948046,961113,1003335,1118545,1277323,1319067,1205066,5,2016,
4,905767,1120465,1069472,1032234,1015660,1015955,988804,991636,1000291,1031325,1053487,885693,1081928,1156328,1125791,1036612,944775,888247,895644,939639,1033233,1199671,1234896,1172266,5,2016,
5,904431,1099468,1056829,1019919,1006620,1005848,997168,990619,1014096,1038438,1061074,889822,1106085,1175279,1137812,1035725,934822,896868,913894,959989,1061641,1227257,1264244,1172780,5,2016,
6,881077,1155587,1134620,1114728,1091535,1062456,1052014,1034630,1055913,1061453,1081953,848935,1093582,1153749,1116472,1060796,974294,850908,864552,893256,986848,1149311,1212730,1178040,5,2016,
7,922091,1117328,1059359,1003947,973197,941935,928195,915877,924944,929846,922910,890144,946715,1009311,989356,934398,858169,878320,883089,910932,950813,1023978,1089308,1129852,5,2016,
8,766646,1011446,1000137,959125,920349,902199,888060,888019,900393,919257,928856,746018,956634,1044134,1034853,949172,854174,737274,740805,755270,779933,825561,914520,984735,5,2016,
9,763968,1014425,1025373,1040166,1043613,1042992,1047644,1059598,1083334,1111815,1138532,747144,1143906,1201449,1188835,1058497,922941,751208,738185,778104,871115,1025711,1088876,1045538,5,2016,
10,847953,1071687,1070697,1071190,1086207,1104900,1099688,1110695,1145683,1163789,1170554,810026,1186174,1223309,1205729,1067790,953402,800619,803972,833813,915030,1058196,1120630,1070751,5,2016,
11,858391,1032062,1049170,1070059,1078558,1105349,1120940,1142077,1177605,1205427,1226740,812636,1230455,1247203,1219973,1133844,1004813,801572,797731,807319,861378,984859,1058080,1014837,5,2016,
12,911105,1122612,1123827,1133886,1133108,1141321,1133681,1091259,1112185,1120191,1151762,865807,1160476,1199818,1171322,1057426,939195,839482,840739,850617,933236,1066646,1135570,1123671,5,2016,
13,852686,1075863,1074200,1082837,1072408,1127041,1100479,1110434,1118387,1124214,1150665,817242,1153732,1185435,1172044,1122080,998428,810009,810542,838993,924225,1066643,1122678,1092341,5,2016,
14,914197,1168673,1172469,1180660,1167031,1199952,1208323,1209425,1221551,1239040,1235142,842242,1217880,1247756,1209393,1123058,985210,830028,822217,828958,881904,936124,1027033,1100262,5,2016,
15,903102,1128083,1152711,1156800,1159651,1153183,1158171,1166720,1173577,1196046,1207714,822427,1247536,1275770,1226862,1110744,989143,832179,873355,695837,756536,811163,918991,1040531,5,2016,
16,874626,1206671,1181472,1179832,1204950,1207844,1198755,1181913,1196608,1223977,1235256,827509,1231471,1286141,1261647,1131974,1001228,819480,820584,842766,934324,1111376,1224105,1202315,5,2016,
17,897374,1164857,1165019,1156726,1147627,1149477,1149758,1145614,1182500,1216159,1217447,847034,1221423,1238434,1248343,1145921,977437,824255,836763,880026,992986,1138415,1214938,1177580,5,2016,
18,900392,1183168,1179109,1173302,1144322,1146195,1146614,1172932,1194882,1195064,1212506,872729,1196446,1247053,1249436,1119175,1007709,855901,850063,883838,1012657,1154585,1218194,1199021,5,2016,
19,905253,1145982,1141476,1136624,1146709,1136250,1150492,1169879,1190812,1206054,1231653,869842,1246320,1318983,1250514,1157981,1015907,839967,852245,861010,964035,1117314,1206309,1165518,5,2016,
20,927908,1222061,1253205,1262696,1228192,1127652,1067853,1073044,1080690,1108048,1123851,889667,1108228,1128625,1104261,1027879,931104,870102,863525,903747,975024,1153972,1241649,1224567,5,2016,
21,872728,1047323,1026886,991260,967996,947999,937606,937598,942232,958416,957211,811473,955506,982167,986346,925441,843188,793538,792243,814546,842671,905908,986862,1027885,5,2016,
22,774402,987616,973915,948139,939818,930030,928098,926562,949774,969718,983660,734476,1001032,1049181,1032700,938977,835056,726570,719271,714320,739869,786252,862706,951038,5,2016,
23,768544,1037819,1076263,1072887,1061097,1015724,1000274,992013,1022289,1061526,1119926,753723,1147662,1170129,1129190,1033160,909895,746270,746061,779280,856692,978401,1052610,1043922,5,2016,
24,857077,1099746,1106010,1098912,1065920,1042729,1034175,1020177,1039954,1089574,1127797,808140,1162085,1163188,1122897,1025055,906972,796973,797214,820857,908574,1043093,1117819,1095558,5,2016,
25,852605,1119036,1100565,1093322,1077786,1065931,1052280,1060130,1091228,1139888,1179937,821399,1185909,1175509,1143074,1058310,944164,815657,821082,849443,939049,1095352,1164970,1134215,5,2016,
26,877247,1084208,1097606,1048615,1059906,1059269,1052386,1060539,1075239,1099136,1109901,855673,1128347,1153452,1180729,1067763,924797,837012,826853,856343,942619,1082067,1142075,1095236,5,2016,
27,835582,1083035,1093294,1098566,1100142,1124373,1128149,1128197,1116087,1131688,1142076,800637,1105645,1114613,1122567,1030508,916312,779515,777998,801284,877214,1004517,1090656,1072272,5,2016,
28,827533,998653,1032000,1027577,1028741,1010448,988497,987565,1000742,1015170,1011752,771393,1006429,1010390,1031813,962618,865905,737926,729328,731521,756914,793413,858692,918025,5,2016,
29,784171,980769,988615,986839,976345,959978,950373,955248,970806,997724,994383,732701,986603,993173,1014307,929287,840790,713910,700927,710766,712846,736547,831573,928966,5,2016,
30,754259,948597,993528,1012824,1000112,988033,984610,991581,1005191,1018503,1024678,706988,1057570,1083210,1066010,952486,829525,691633,678972,683791,679280,710119,776978,871672,5,2016,
31,759216,1074576,1096027,1095621,1106254,1133102,1141131,1142374,1163101,1171425,1193129,728891,1197958,1198656,1205737,1080990,926437,712541,713434,749052,823971,992875,1069697,1069409,5,2016,
1,863852,1079702,1099538,1127258,1139987,1117839,1121364,1131274,1147446,1160375,1158305,820801,1154543,1185817,1182205,1058117,924982,800003,793809,819188,900314,1030465,1101326,1078922,6,2016,
2,849185,1078568,1087364,1088313,1068299,1064614,1055479,1050076,1064495,1092239,1121425,811613,1124964,1149583,1133016,1037213,912251,795868,788764,814005,892019,1026979,1091417,1085456,6,2016,
3,863810,1094928,1102688,1101322,1081540,1059685,1052622,1039944,1059219,1069375,1066659,829094,1066009,1081541,1081292,1011771,916923,814444,810880,834916,907224,1049689,1109022,1090820,6,2016,
4,841018,1029834,1058670,1061740,1056237,1069852,1071177,1074107,1108827,1134183,1132383,789196,1124070,1112285,1132464,1038827,934811,763195,750367,749416,776048,819892,891081,979265,6,2016,
5,845648,1089856,1161044,1219294,1266284,1291056,1317006,1317671,1356914,1385813,1410371,794669,1396219,1394552,1411622,1257755,1094915,765171,755964,755246,759895,774474,867996,980480,6,2016,
6,980704,1373012,1490153,1546428,1597951,1642639,1629070,1605678,1613141,1606983,1610905,923607,1565384,1561607,1516984,1341215,1175346,887662,872266,884068,941354,1081765,1187549,1264768,6,2016,
7,1062616,1315204,1389406,1460873,1528353,1572227,1584301,1592347,1598075,1619372,1616035,1002838,1591239,1571948,1562658,1386094,1219863,974569,953409,953493,1012084,1152968,1226727,1246773,6,2016,
8,1102298,1378555,1469889,1564221,1629972,1664072,1670827,1633003,1630401,1657005,1695533,1031714,1665773,1648826,1617373,1456684,1269295,991390,974959,981273,1037523,1165232,1249546,1308918,6,2016,
9,1151672,1409589,1499672,1569260,1601147,1623220,1600422,1559959,1552722,1591665,1553928,1069214,1498841,1480846,1465831,1327403,1179328,1035062,1008025,1019285,1073626,1199537,1306536,1332092,6,2016,
10,1084195,1342772,1427583,1483358,1516123,1575088,1614373,1614558,1574905,1561236,1541016,1009291,1495351,1461964,1447180,1335266,1196370,981968,963476,966812,1025684,1139674,1232780,1269619,6,2016,
11,1090639,1311084,1417071,1483862,1539973,1557184,1585681,1595871,1587766,1584929,1554921,1027199,1485010,1430675,1412258,1292849,1156267,968137,941978,922407,925428,973043,1081607,1187989,6,2016,
12,1036306,1293969,1381333,1434765,1476984,1503234,1512058,1521236,1541345,1549048,1552636,951040,1496515,1451072,1438210,1301564,1166164,899426,865514,843737,840836,865531,993439,1136769,6,2016,
13,1059780,1409659,1509693,1587388,1636920,1699518,1719655,1662923,1623777,1617591,1687827,1007587,1657812,1613238,1597473,1468005,1290975,959787,963338,970624,1025480,1145938,1258201,1335994,6,2016,
14,1187082,1585072,1639597,1683063,1753127,1805393,1801229,1749924,1758538,1810855,1839438,1109149,1765585,1716564,1709556,1547787,1359352,1065208,1043562,1045521,1100167,1202634,1329668,1501714,6,2016,
15,1224561,1397665,1456349,1503696,1534964,1571305,1589612,1592305,1602811,1622068,1626081,1147531,1549839,1488088,1455162,1313790,1149986,1089742,1051767,1047167,1057885,1123572,1230868,1321908,6,2016,
